"","outQSIM"
"1",1.9681
"2",1.9625
"3",1.9568
"4",1.9512
"5",1.9456
"6",1.94
"7",1.9344
"8",1.9288
"9",1.9233
"10",1.9178
"11",1.9123
"12",1.9068
"13",1.9013
"14",1.8958
"15",1.8904
"16",1.8849
"17",1.8795
"18",1.8741
"19",1.8687
"20",1.8633
"21",1.858
"22",1.8526
"23",1.8473
"24",1.842
"25",1.8367
"26",1.8314
"27",1.8261
"28",1.8209
"29",1.8157
"30",1.8104
"31",1.8053
"32",1.8002
"33",1.795
"34",1.7898
"35",1.7847
"36",1.7795
"37",1.7744
"38",1.7693
"39",1.7642
"40",1.7591
"41",1.7541
"42",1.749
"43",1.744
"44",1.7391
"45",1.7341
"46",1.7291
"47",1.7241
"48",1.7191
"49",1.7142
"50",1.7093
"51",1.7045
"52",1.6997
"53",1.6948
"54",1.6908
"55",1.6859
"56",1.6811
"57",1.6764
"58",1.6716
"59",1.6683
"60",1.6642
"61",1.6594
"62",1.656
"63",1.6513
"64",1.6494
"65",1.6468
"66",1.6421
"67",1.6411
"68",1.6364
"69",1.6319
"70",1.6276
"71",1.6251
"72",1.6204
"73",1.616
"74",1.6124
"75",1.6085
"76",1.604
"77",1.6015
"78",1.597
"79",1.6085
"80",1.5945
"81",1.59
"82",1.5897
"83",1.5875
"84",1.5832
"85",1.5791
"86",1.5759
"87",1.5719
"88",1.5677
"89",1.5632
"90",1.6241
"91",1.6046
"92",1.5644
"93",1.5608
"94",1.5563
"95",1.5543
"96",1.55
"97",1.5461
"98",1.5425
"99",1.5381
"100",1.5337
"101",1.5295
"102",1.5252
"103",1.521
"104",1.5167
"105",1.5125
"106",1.5081
"107",1.5038
"108",1.5255
"109",1.5026
"110",1.4999
"111",1.4956
"112",1.5785
"113",1.5089
"114",1.4953
"115",1.491
"116",1.4873
"117",1.4873
"118",1.5127
"119",1.5342
"120",1.4894
"121",1.4854
"122",1.4814
"123",1.4778
"124",1.4744
"125",1.4725
"126",1.4689
"127",1.4662
"128",1.4623
"129",1.4581
"130",1.4539
"131",1.4499
"132",1.446
"133",1.4419
"134",1.4421
"135",1.4391
"136",1.4352
"137",1.4313
"138",1.4272
"139",1.427
"140",1.4237
"141",1.4199
"142",1.4161
"143",1.4122
"144",1.4189
"145",1.6447
"146",1.6237
"147",1.5344
"148",1.4459
"149",1.4531
"150",1.4218
"151",1.4177
"152",1.4136
"153",1.5266
"154",1.5879
"155",1.7174
"156",1.6217
"157",1.5249
"158",1.4465
"159",1.4268
"160",1.4705
"161",1.43
"162",1.538
"163",1.6337
"164",1.6314
"165",1.9073
"166",1.9628
"167",1.7921
"168",1.6861
"169",2.2771
"170",2.0964
"171",3.6199
"172",3.3399
"173",3.0785
"174",3.3817
"175",3.776
"176",3.4861
"177",3.2155
"178",3.206
"179",3.3088
"180",3.0631
"181",3.2077
"182",3.0984
"183",3.7299
"184",3.4798
"185",4.0878
"186",3.7784
"187",3.6883
"188",3.4288
"189",3.2789
"190",3.139
"191",2.893
"192",2.6772
"193",2.4757
"194",2.274
"195",2.0994
"196",1.9363
"197",1.8027
"198",2.048
"199",1.966
"200",1.8376
"201",1.773
"202",2.7047
"203",3.4645
"204",3.4484
"205",3.4837
"206",3.365
"207",3.2295
"208",3.6572
"209",4.2862
"210",4.0334
"211",3.7817
"212",3.5877
"213",3.3296
"214",3.0887
"215",3.9445
"216",3.6635
"217",3.3854
"218",3.1518
"219",3.0266
"220",2.8684
"221",2.6845
"222",2.769
"223",3.6212
"224",3.3731
"225",3.1151
"226",3.0735
"227",2.8356
"228",2.838
"229",2.6159
"230",2.4606
"231",2.2637
"232",2.0954
"233",1.9229
"234",1.8087
"235",1.7091
"236",1.6139
"237",1.5563
"238",1.5529
"239",1.5484
"240",1.544
"241",1.5423
"242",2.8433
"243",2.8706
"244",2.7246
"245",2.6663
"246",2.4558
"247",2.2594
"248",2.0915
"249",1.9194
"250",1.8076
"251",1.7181
"252",1.639
"253",1.5604
"254",1.5559
"255",1.552
"256",1.5536
"257",1.5502
"258",1.5457
"259",1.5878
"260",1.5471
"261",1.5443
"262",1.5415
"263",1.5392
"264",1.5354
"265",1.531
"266",1.5266
"267",1.5228
"268",1.5184
"269",1.514
"270",1.5097
"271",1.5059
"272",1.5016
"273",1.4973
"274",1.4936
"275",1.4893
"276",1.486
"277",1.4823
"278",1.478
"279",1.4743
"280",1.4701
"281",1.4664
"282",1.4622
"283",1.4586
"284",1.5543
"285",1.5126
"286",1.4617
"287",1.4593
"288",1.4557
"289",1.4515
"290",1.4473
"291",1.4459
"292",1.4431
"293",1.439
"294",1.4372
"295",1.4344
"296",1.4308
"297",1.4281
"298",1.4254
"299",1.4218
"300",1.4177
"301",1.4142
"302",1.4101
"303",1.4065
"304",1.4025
"305",1.3985
"306",1.3944
"307",1.3904
"308",1.3869
"309",1.3829
"310",1.3789
"311",1.3749
"312",1.371
"313",1.367
"314",1.3638
"315",1.361
"316",1.3596
"317",1.3557
"318",1.3518
"319",1.3479
"320",1.344
"321",1.3402
"322",1.3363
"323",1.3325
"324",1.3286
"325",1.3248
"326",1.321
"327",1.3172
"328",1.3134
"329",1.3096
"330",1.3059
"331",1.3031
"332",1.2993
"333",1.2956
"334",1.2922
"335",1.2885
"336",1.2848
"337",1.2811
"338",1.2774
"339",1.2738
"340",1.2701
"341",1.2664
"342",1.2628
"343",1.2592
"344",1.2555
"345",1.2519
"346",1.2483
"347",1.2447
"348",1.2411
"349",1.2376
"350",1.234
"351",1.2305
"352",1.2269
"353",1.2234
"354",1.2199
"355",1.2164
"356",1.2129
"357",1.2094
"358",1.2059
"359",1.2024
"360",1.199
"361",1.1955
"362",1.1921
"363",1.1886
"364",1.1852
"365",1.1818
"366",1.1784
"367",1.175
"368",1.1716
"369",1.1683
"370",1.1649
"371",1.1615
"372",1.1582
"373",1.1549
"374",1.1527
"375",1.3174
"376",1.2525
"377",1.161
"378",1.1574
"379",1.1546
"380",1.1527
"381",1.1494
"382",1.1461
"383",1.1428
"384",1.1399
"385",1.1374
"386",1.1346
"387",1.1316
"388",1.1284
"389",1.1251
"390",1.1219
"391",1.1205
"392",1.1172
"393",1.114
"394",1.1115
"395",1.1083
"396",1.1051
"397",1.102
"398",1.0988
"399",1.0956
"400",1.0925
"401",1.0902
"402",1.1912
"403",1.1275
"404",1.095
"405",1.5073
"406",1.4248
"407",1.3284
"408",1.2314
"409",1.1387
"410",1.1078
"411",1.1046
"412",1.1025
"413",1.0993
"414",1.0962
"415",1.093
"416",1.0899
"417",1.0867
"418",1.0839
"419",1.0808
"420",1.08
"421",1.0785
"422",1.0754
"423",1.0723
"424",1.0702
"425",1.1726
"426",1.781
"427",1.6416
"428",1.4692
"429",1.4573
"430",2.6856
"431",3.1836
"432",3.6814
"433",3.3934
"434",3.1357
"435",2.9321
"436",2.6868
"437",2.4468
"438",2.2229
"439",2.0503
"440",1.8638
"441",1.9345
"442",1.7635
"443",1.8142
"444",1.6443
"445",1.9741
"446",1.8016
"447",1.6519
"448",1.5308
"449",1.8108
"450",1.9385
"451",2.0159
"452",2.091
"453",1.9443
"454",1.7565
"455",1.5813
"456",1.6227
"457",1.4863
"458",1.4759
"459",1.408
"460",1.3558
"461",1.2603
"462",1.2068
"463",1.1736
"464",1.1813
"465",1.247
"466",1.357
"467",1.3802
"468",1.4935
"469",1.5315
"470",1.4634
"471",1.3773
"472",1.2897
"473",1.4094
"474",1.3207
"475",1.2885
"476",1.2063
"477",1.2051
"478",1.2022
"479",1.2044
"480",1.2044
"481",1.201
"482",1.1975
"483",1.2932
"484",1.2225
"485",1.2009
"486",1.3049
"487",1.2261
"488",1.2046
"489",1.2157
"490",1.2065
"491",1.2979
"492",1.2112
"493",1.2082
"494",1.2047
"495",1.5162
"496",1.4233
"497",1.3265
"498",1.3073
"499",1.2236
"500",1.215
"501",1.2115
"502",1.212
"503",1.2085
"504",1.2823
"505",1.3622
"506",1.4792
"507",1.9415
"508",1.7706
"509",1.5987
"510",1.6683
"511",1.5353
"512",1.4344
"513",1.338
"514",2.77
"515",3.8522
"516",4.0593
"517",3.8301
"518",3.537
"519",3.3559
"520",3.4996
"521",4.3226
"522",3.9978
"523",4.0784
"524",4.1413
"525",3.829
"526",3.5376
"527",3.2513
"528",3.4378
"529",6.2669
"530",5.903
"531",5.5116
"532",5.3899
"533",5.0731
"534",4.7366
"535",5.6615
"536",6.0573
"537",5.7766
"538",5.4882
"539",5.5168
"540",5.1167
"541",7.1072
"542",6.6667
"543",7.6314
"544",9.1929
"545",8.5622
"546",9.32
"547",9.9329
"548",9.2427
"549",8.5983
"550",8.108
"551",8.061
"552",7.4785
"553",6.9513
"554",6.4867
"555",9.1743
"556",8.9817
"557",8.3389
"558",9.8894
"559",9.6451
"560",9.5038
"561",9.5347
"562",9.8904
"563",9.2641
"564",9.0048
"565",8.7448
"566",9.0006
"567",10.0752
"568",10.7393
"569",10.029
"570",9.3184
"571",8.8665
"572",8.2508
"573",7.9381
"574",7.8371
"575",7.2726
"576",6.7455
"577",6.2536
"578",5.823
"579",5.6826
"580",5.6533
"581",5.3648
"582",5.3838
"583",5.0848
"584",4.7038
"585",4.4773
"586",4.1816
"587",3.8776
"588",3.5938
"589",3.3288
"590",3.065
"591",2.8188
"592",2.589
"593",2.4017
"594",2.216
"595",2.0695
"596",1.9059
"597",1.7448
"598",1.6424
"599",1.5445
"600",1.4783
"601",1.4207
"602",1.4166
"603",1.4125
"604",1.5731
"605",1.5894
"606",2.1506
"607",2.3261
"608",2.1458
"609",1.9774
"610",1.8047
"611",1.7316
"612",1.6738
"613",1.7119
"614",1.7116
"615",1.7311
"616",1.6899
"617",1.6338
"618",1.5537
"619",1.4704
"620",1.442
"621",1.5942
"622",2.2591
"623",2.3889
"624",2.1904
"625",2.0962
"626",2.1239
"627",2.0088
"628",1.8359
"629",1.7188
"630",1.6192
"631",1.5241
"632",1.4623
"633",1.4581
"634",1.4545
"635",1.451
"636",1.4489
"637",1.4447
"638",1.4406
"639",1.7846
"640",1.8076
"641",2.0983
"642",2.2229
"643",2.0596
"644",2.1134
"645",2.4945
"646",2.9667
"647",3.0779
"648",3.0599
"649",2.8177
"650",2.6402
"651",2.4646
"652",2.2622
"653",2.0971
"654",1.9192
"655",1.7745
"656",1.6883
"657",1.5998
"658",1.5452
"659",1.5436
"660",1.5599
"661",1.4807
"662",1.4764
"663",1.4722
"664",1.468
"665",1.4637
"666",1.461
"667",1.4606
"668",1.5745
"669",1.5615
"670",1.4775
"671",1.4625
"672",1.4583
"673",1.4541
"674",1.4517
"675",1.4481
